risk_id,value,change,type,streak,event
1,6.0,0,,0,
2,29.6,0,,0,
3,60.65,0,,0,
1,5.94,-1.0,1,1,
2,29.98,1.3,0,1,
3,56.28,-7.2,1,1,
1,5.88,-1.0,1,2,
2,30.4,1.4,0,2,
3,51.83,-7.9,1,2,
1,5.91,0.5,0,1,
2,31.56,3.8,0,3,
3,47.32,-8.7,1,3,
1,6.01,1.7,0,2,
2,30.64,-2.9,1,1,
3,51.63,9.1,0,1,
1,6.17,2.6,0,3,
2,29.94,-2.3,1,2,
3,54.57,5.7,0,2,
1,6.03,-2.3,1,1,
2,28.5,-4.8,1,3,
3,49.93,-8.5,1,1,
1,6.07,0.7,0,1,
2,29.61,3.9,0,1,
3,55.37,10.9,0,1,
1,6.21,2.3,0,2,
2,28.72,-3.0,1,1,
3,60.74,9.7,0,2,
1,6.28,1.1,0,3,
2,28.06,-2.3,1,2,
3,64.26,5.8,0,3,
1,6.43,2.4,0,4,
2,26.21,-6.6,1,3,
3,58.09,-9.6,1,1,
1,6.61,2.8,0,5,
2,25.61,-2.3,1,4,
3,61.81,6.4,0,1,break:5
1,6.6,-0.1,1,1,
2,26.84,4.8,0,1,
3,68.55,10.9,0,1,break:4
1,6.73,1.9,0,1,
2,27.83,3.7,0,2,
3,74.31,8.4,0,1,break:3
1,6.56,-2.5,1,1,
2,29.86,7.3,0,3,
3,80.03,7.7,0,1,break:2
1,6.57,0.1,0,1,
2,29.14,-2.4,1,1,
3,85.55,6.9,0,1,break:1
1,6.47,-1.5,1,1,
2,29.52,1.3,0,1,
3,94.87,10.9,0,2,
1,6.49,0.3,0,1,
2,28.4,-3.8,1,1,
3,85.57,-9.8,1,1,
1,6.46,-0.4,1,1,
2,27.75,-2.3,1,2,
3,94.81,10.8,0,1,
1,6.52,0.9,0,1,
2,25.86,-6.8,1,3,
3,85.52,-9.8,1,1,
1,6.41,-1.7,1,1,
2,25.11,-2.9,1,4,
3,93.22,9.0,0,1,
1,6.56,2.4,0,1,
2,26.29,4.7,0,1,
3,84.18,-9.7,1,1,
1,6.46,-1.5,1,1,
2,24.69,-6.1,1,1,
3,92.18,9.5,0,1,
